2025-01-24 13:51:01 : ----- INFO: 事件触发：连接主机
2025-01-24 13:52:45 : ----- DEBUG 日志文件存在
2025-01-24 13:52:45 : ----- 程序启动 
2025-01-24 13:52:45 : ----- DEBUG 日志文件存在
2025-01-24 13:52:45 : ----- DEBUG 日志文件存在
2025-01-24 13:52:45 : ----- INFO: 控件初始化成功
2025-01-24 13:52:45 : ----- INFO: 数据库初始化成功
2025-01-24 13:52:45 : ----- INFO: 组数据初始化成功
2025-01-24 13:52:45 : ----- INFO: 主机数据初始化成功
2025-01-24 13:52:45 : ----- INFO: 主机数据初始化成功
2025-01-24 13:52:45 : ----- INFO: 程序初始化成功
2025-01-24 13:52:50 : ----- INFO: 事件触发：新建分组
2025-01-24 13:52:55 : ----- INFO: 事件触发：添加主机window
2025-01-24 13:53:02 : ----- INFO: 事件触发：删除分组
2025-01-24 13:53:03 : ----- INFO: 删除的分组名是：测试3
2025-01-24 13:53:03 : ----- INFO: 该分组下不存在主机,分组删除成功3,测试3
2025-01-24 13:53:09 : ----- DEBUG 日志文件存在
2025-01-24 13:53:09 : ----- 程序启动 
2025-01-24 13:53:09 : ----- DEBUG 日志文件存在
2025-01-24 13:53:09 : ----- DEBUG 日志文件存在
2025-01-24 13:53:09 : ----- INFO: 控件初始化成功
2025-01-24 13:53:09 : ----- INFO: 数据库初始化成功
2025-01-24 13:53:09 : ----- INFO: 组数据初始化成功
2025-01-24 13:53:09 : ----- INFO: 主机数据初始化成功
2025-01-24 13:53:09 : ----- INFO: 主机数据初始化成功
2025-01-24 13:53:09 : ----- INFO: 程序初始化成功
2025-01-24 13:53:17 : ----- INFO: 事件触发：删除分组
2025-01-24 13:53:20 : ----- INFO: 事件触发：删除主机
2025-01-24 13:53:23 : ----- INFO: 事件触发：删除主机
2025-01-24 13:53:46 : ----- DEBUG 日志文件存在
2025-01-24 13:53:46 : ----- ERROR: ip格式正确: 192.1.1.136
2025-01-24 13:53:54 : ----- INFO: 主机数据初始化成功
2025-01-24 13:53:54 : ----- INFO: 主机数据初始化成功
